instruction,true_intent,true_category,router_raw,router_parsed_ok,pred_intent,pred_category,is_adversarial,exact_match,fuzzy_match
where can i unsubscribe from ur fucking  newsletter,newsletter_subscription,SUBSCRIPTION,"{""intent"": ""unsubscribe_from_newsletter"", ""category"": ""NEWSLETTER""}",True,unsubscribe_from_newsletter,NEWSLETTER,False,False,True
assistance to inform of asign-up problem,registration_problems,ACCOUNT,"{""intent"": ""delivery_issue"", ""category"": ""DELIVERY""}",True,delivery_issue,DELIVERY,False,False,False
want assistance to lodge a complaint against your business,complaint,FEEDBACK,"{""intent"": ""complaint"", ""category"": ""FEEDBACK""}",True,complaint,FEEDBACK,False,True,True
wanna see at what time i can reach customer assistance,contact_customer_service,CONTACT,"{""intent"": ""contact_customer_service"", ""category"": ""CONTACT""}",True,contact_customer_service,CONTACT,False,True,True
can I order from {{Delivery Country}}?,delivery_options,DELIVERY,"{""intent"": ""delivery_country"", ""category"": ""DELIVERY""}",True,delivery_country,DELIVERY,False,False,True
i do not know what to do toreset the pwd of my user,recover_password,ACCOUNT,"{""intent"": ""change_password"", ""category"": ""PASSWORD""}",True,change_password,PASSWORD,False,False,True
i need assistance looking for the bills from {{Person Name}},check_invoice,INVOICE,"{""intent"": ""check_invoice"", ""category"": ""INVOICE""}",True,check_invoice,INVOICE,False,True,True
assistance to see ru accepted payment options,check_payment_methods,PAYMENT,"{""intent"": ""check_payment_methods"", ""category"": ""PAYMENT""}",True,check_payment_methods,PAYMENT,False,True,True
how to download my bills from {{Person Name}}?,get_invoice,INVOICE,"{""intent"": ""download_invoice"", ""category"": ""INVOICE""}",True,download_invoice,INVOICE,False,False,True
i missed a fucking product in purchase {{Order Number}},change_order,ORDER,"{""intent"": ""delivery_issue"", ""category"": ""DELIVERY""}",True,delivery_issue,DELIVERY,False,False,False
want help to file a consumer claim,complaint,FEEDBACK,"{""intent"": ""complaint"", ""category"": ""FEEDBACK""}",True,complaint,FEEDBACK,False,True,True
need to check what hours i can reach customer service,contact_customer_service,CONTACT,"{""intent"": ""contact_customer_service"", ""category"": ""CONTACT""}",True,contact_customer_service,CONTACT,False,True,True
can i check the withdrawal penalty,check_cancellation_fee,CANCEL,"{""intent"": ""check_cancellation_fee"", ""category"": ""CANCEL""}",True,check_cancellation_fee,CANCEL,False,True,True
where can I submit my feedback for a product?,review,FEEDBACK,"{""intent"": ""review"", ""category"": ""FEEDBACK""}",True,review,FEEDBACK,False,True,True
there are errors trying to modify my shipping address,change_shipping_address,SHIPPING,"{""intent"": ""change_shipping_address"", ""category"": ""SHIPPING""}",True,change_shipping_address,SHIPPING,False,True,True
I need assistance to chat with an operator,contact_human_agent,CONTACT,"{""intent"": ""contact_human_agent"", ""category"": ""CONTACT""}",True,contact_human_agent,CONTACT,False,True,True
I try to see th accepted payment options,check_payment_methods,PAYMENT,"{""intent"": ""check_payment_methods"", ""category"": ""PAYMENT""}",True,check_payment_methods,PAYMENT,False,True,True
I don't know what I need to do to contact a live agent,contact_human_agent,CONTACT,"{""intent"": ""contact_human_agent"", ""category"": ""CONTACT""}",True,contact_human_agent,CONTACT,False,True,True
i  have lost my account access key where can i recover it,recover_password,ACCOUNT,"{""intent"": ""recover_account"", ""category"": ""ACCOUNT""}",True,recover_account,ACCOUNT,False,False,True
I want help to chat with a live agent,contact_human_agent,CONTACT,"{""intent"": ""contact_human_agent"", ""category"": ""CONTACT""}",True,contact_human_agent,CONTACT,False,True,True
I need to see when will my product arrive,delivery_period,DELIVERY,"{""intent"": ""delivery_period"", ""category"": ""DELIVERY""}",True,delivery_period,DELIVERY,False,True,True
i have paid {{Currency Symbol}}{{Refund Amount}} for an order I'm trying to obtain a refund,get_refund,REFUND,"{""intent"": ""get_refund"", ""category"": ""REFUND""}",True,get_refund,REFUND,False,True,True
list the allowed payment modalities,check_payment_methods,PAYMENT,"{""intent"": ""check_payment_methods"", ""category"": ""PAYMENT""}",True,check_payment_methods,PAYMENT,False,True,True
are there early exit fees?,check_cancellation_fee,CANCEL,"{""intent"": ""check_cancellation_fee"", ""category"": ""CANCEL""}",True,check_cancellation_fee,CANCEL,False,True,True
i want help to file a consumer claim against ur organization,complaint,FEEDBACK,"{""intent"": ""complaint"", ""category"": ""FEEDBACK""}",True,complaint,FEEDBACK,False,True,True
want help sending some feedback for your prfoducts,review,FEEDBACK,"{""intent"": ""review_product"", ""category"": ""FEEDBACK""}",True,review_product,FEEDBACK,False,False,True
i have to check in what cases can i ask for refunds,check_refund_policy,REFUND,"{""intent"": ""check_refund_policy"", ""category"": ""REFUND""}",True,check_refund_policy,REFUND,False,True,True
i do not know what to do to shop several of ur item,place_order,ORDER,"{""intent"": ""place_order"", ""category"": ""ORDER""}",True,place_order,ORDER,False,True,True
would it be possible to enter the new delivery address?,set_up_shipping_address,SHIPPING,"{""intent"": ""change_shipping_address"", ""category"": ""SHIPPING""}",True,change_shipping_address,SHIPPING,False,False,True
assistance to see when my order is going to arrive,delivery_period,DELIVERY,"{""intent"": ""delivery_period"", ""category"": ""DELIVERY""}",True,delivery_period,DELIVERY,False,True,True
"I have to correct purchase {{Order Number}}, I need assistance",change_order,ORDER,"{""intent"": ""edit_order"", ""category"": ""ORDER""}",True,edit_order,ORDER,False,False,True
I need help with adding an article to order {{Order Number}},change_order,ORDER,"{""intent"": ""add_to_cart"", ""category"": ""ORDER""}",True,add_to_cart,ORDER,False,False,False
assistance lodging a customer reclamation against ur copany,complaint,FEEDBACK,"{""intent"": ""complaint"", ""category"": ""FEEDBACK""}",True,complaint,FEEDBACK,False,True,True
need assistance to find my fucking bill from {{Person Name}},check_invoice,INVOICE,"{""intent"": ""check_invoice"", ""category"": ""INVOICE""}",True,check_invoice,INVOICE,False,True,True
list your accepted payment options,check_payment_methods,PAYMENT,"{""intent"": ""check_payment_methods"", ""category"": ""PAYMENT""}",True,check_payment_methods,PAYMENT,False,True,True
editing data on pro account,edit_account,ACCOUNT,"{""intent"": ""edit_account"", ""category"": ""ACCOUNT""}",True,edit_account,ACCOUNT,False,True,True
how do I update the shipping address?,change_shipping_address,SHIPPING,"{""intent"": ""change_shipping_address"", ""category"": ""SHIPPING""}",True,change_shipping_address,SHIPPING,False,True,True
need assistance changing the details on my profile,edit_account,ACCOUNT,"{""intent"": ""edit_account"", ""category"": ""ACCOUNT""}",True,edit_account,ACCOUNT,False,True,True
upddate order {{Order Number}},change_order,ORDER,"{""intent"": ""check_order_status"", ""category"": ""ORDER""}",True,check_order_status,ORDER,False,False,True
assistance shopping some of your article,place_order,ORDER,"{""intent"": ""place_order"", ""category"": ""ORDER""}",True,place_order,ORDER,False,True,True
could you tell me more about creating a platinum account?,create_account,ACCOUNT,"{""intent"": ""create_account"", ""category"": ""ACCOUNT""}",True,create_account,ACCOUNT,False,True,True
what do i need to do to create a {{Account Category}} account,create_account,ACCOUNT,"{""intent"": ""create_account"", ""category"": ""ACCOUNT""}",True,create_account,ACCOUNT,False,True,True
what do i need to do to speak with an assistant,contact_human_agent,CONTACT,"{""intent"": ""contact_human_agent"", ""category"": ""CONTACT""}",True,contact_human_agent,CONTACT,False,True,True
i cannot see if there is anything new on my refund,track_refund,REFUND,"{""intent"": ""check_refund_status"", ""category"": ""REFUND""}",True,check_refund_status,REFUND,False,False,True
i need help to add several product to order {{Order Number}},change_order,ORDER,"{""intent"": ""add_items_to_cart"", ""category"": ""ADD_TO_CART""}",True,add_items_to_cart,ADD_TO_CART,False,False,False
"I would like to shop some of your product, how to do it?",place_order,ORDER,"{""intent"": ""place_order"", ""category"": ""ORDER""}",True,place_order,ORDER,False,True,True
how to check the early termination fee ?,check_cancellation_fee,CANCEL,"{""intent"": ""check_cancellation_fee"", ""category"": ""CANCEL""}",True,check_cancellation_fee,CANCEL,False,True,True
